127.0.0.1 - - [20/Dec/2021:09:42:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:42:53 +0900] "GET /koravelProject/index.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:42:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:42:56 +0900] "GET /koravelProject/region/recommand.do HTTP/1.1" 500 31909
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:36 +0900] "GET /koravelProject/region/recommand.do HTTP/1.1" 200 9538
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:36 +0900] "GET /koravelProject/resources/style/sytle.css HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:36 +0900] "GET /koravelProject/resources/js/js_recommand.js HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:36 +0900] "GET /koravelProject/resources/js/jquery-1.7.1.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:36 +0900] "GET /koravelProject/resources/img/traveller.png HTTP/1.1" 200 30755
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:36 +0900] "GET /koravelProject/resources/img/region/region0.jpg HTTP/1.1" 200 137078
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:36 +0900] "GET /koravelProject/resources/img/region/region2.jpg HTTP/1.1" 200 84328
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:36 +0900] "GET /koravelProject/resources/img/region/region3.jpg HTTP/1.1" 200 179291
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:36 +0900] "GET /koravelProject/resources/img/region/region1.jpg HTTP/1.1" 200 415232
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:36 +0900] "GET /koravelProject/resources/img/region/region4.jpg HTTP/1.1" 200 333915
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:36 +0900] "GET /koravelProject/resources/img/region/region5.jpg HTTP/1.1" 200 620758
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:38 +0900] "GET /koravelProject/region/detailRegion.do?regionIdx=1 HTTP/1.1" 200 9680
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:38 +0900] "GET /koravelProject/resources/style/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:38 +0900] "GET /koravelProject/resources/style/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:38 +0900] "GET /koravelProject/resources/js/bxSlider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:38 +0900] "GET /koravelProject/resources/style/bootstrap-grid.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:38 +0900] "GET /koravelProject/resources/img/region/detailRegion/regionIdx1_BxthumbImg1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:38 +0900] "GET /koravelProject/resources/img/region/detailRegion/regionIdx1_BxthumbImg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:38 +0900] "GET /koravelProject/resources/img/region/detailRegion/regionIdx1_BxthumbImg3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:43:38 +0900] "GET /koravelProject/resources/img/region/detailRegion/regionIdx1_BxImg1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:58:04 +0900] "GET /koravelProject/admin/test.do HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:58:08 +0900] "GET /koravelProject/admin/test.do HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:58:32 +0900] "GET /koravelProject/admin/test.do HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:58:36 +0900] "GET /koravelProject/admin/test.do HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [20/Dec/2021:09:58:37 +0900] "GET /koravelProject/admin/test.do HTTP/1.1" 200 626
