127.0.0.1 - - [05/Dec/2021:22:25:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:25:40 +0900] "GET /koravelProject/index.jsp HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:25:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:25:45 +0900] "GET /koravelProject/userJoin.do HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:25:45 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:25:45 +0900] "GET /koravelProject/src/main/webapp/resources/js/jquery-1.7.1.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:25:45 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:30:05 +0900] "GET /koravelProject/userJoin.do HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:30:06 +0900] "GET /koravelProject/src/main/webapp/resources/js/jquery-1.7.1.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:30:06 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:30:06 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:30:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:40:19 +0900] "GET /koravelProject/userJoin.do HTTP/1.1" 200 1888
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:40:19 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:40:19 +0900] "GET /koravelProject/src/main/webapp/resources/js/jquery-1.7.1.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:40:19 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:40:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:17 +0900] "GET /koravelProject/userJoin.do HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:17 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:17 +0900] "GET /koravelProject/src/main/webapp/resources/js/jquery-1.7.1.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:17 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:20 +0900] "GET /koravelProject/userJoin.do HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:20 +0900] "GET /koravelProject/src/main/webapp/resources/js/jquery-1.7.1.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:20 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:20 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:20 +0900] "GET /koravelProject/userJoin.do HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:20 +0900] "GET /koravelProject/src/main/webapp/resources/js/jquery-1.7.1.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:20 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:20 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:21 +0900] "GET /koravelProject/userJoin.do HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:21 +0900] "GET /koravelProject/src/main/webapp/resources/js/jquery-1.7.1.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:21 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:21 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:21 +0900] "GET /koravelProject/userJoin.do HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:21 +0900] "GET /koravelProject/src/main/webapp/resources/js/jquery-1.7.1.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:21 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:21 +0900] "GET /koravelProject/userJoin.do HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:21 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:21 +0900] "GET /koravelProject/src/main/webapp/resources/js/jquery-1.7.1.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:43:21 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:44:59 +0900] "GET /koravelProject/userJoin.do HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:44:59 +0900] "GET /koravelProject/src/main/webapp/resources/js/jquery-1.7.1.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:44:59 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:45:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:46:40 +0900] "GET /koravelProject/userJoin.do HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:46:40 +0900] "GET /koravelProject/src/main/webapp/resources/js/jquery-1.7.1.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:46:40 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:46:40 +0900] "GET /koravelProject/src/main/webapp/resources/js/js_userinput.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2021:22:46:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
