127.0.0.1 - - [15/Jan/2022:16:09:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:54 +0900] "GET /koravelProject/index.jsp HTTP/1.1" 200 26350
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:54 +0900] "GET /koravelProject/resources/css/style.css HTTP/1.1" 200 7900
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:54 +0900] "GET /koravelProject/resources/js/weatherApi.js HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:54 +0900] "GET /koravelProject/resources/js/main.js HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:54 +0900] "GET /koravelProject/resources/js/ex.js HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:54 +0900] "GET /koravelProject/resources/images/currency-exchange.svg HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:54 +0900] "GET /koravelProject/resources/images/koravel.png HTTP/1.1" 200 26503
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:54 +0900] "GET /koravelProject/resources/images/main/festival.png HTTP/1.1" 200 38330
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:54 +0900] "GET /koravelProject/resources/images/main/community.png HTTP/1.1" 200 38702
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:54 +0900] "GET /koravelProject/resources/images/main/light-bulb.png HTTP/1.1" 200 29079
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:55 +0900] "GET /koravelProject/resources/images/main/gangwon.jpg HTTP/1.1" 200 1039298
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:55 +0900] "GET /koravelProject/resources/images/main/sticky-notes.png HTTP/1.1" 200 28055
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:55 +0900] "GET /koravelProject/resources/images/main/myeongdong.jpg HTTP/1.1" 200 1946888
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:55 +0900] "GET /koravelProject/resources/images/main/hwaseong.jpg HTTP/1.1" 200 1638902
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:55 +0900] "GET /koravelProject/resources/images/main/namhae.jpg HTTP/1.1" 200 1532358
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:55 +0900] "GET /koravelProject/resources/css/images/currency-exchange.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:55 +0900] "GET /koravelProject/resources/images/header/city.jpg HTTP/1.1" 200 1377353
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:55 +0900] "GET /koravelProject/resources/images/main/boeun.jpg HTTP/1.1" 200 2735466
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:55 +0900] "GET /koravelProject/resources/images/main/left.png HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:55 +0900] "GET /koravelProject/resources/images/main/busan1.jpg HTTP/1.1" 200 3410384
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:55 +0900] "GET /koravelProject/resources/images/main/jeonju.jpg HTTP/1.1" 200 3270545
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:56 +0900] "GET /koravelProject/resources/images/main/jeju1.jpg HTTP/1.1" 200 7432562
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:09:57 +0900] "GET /koravelProject/currency.jsp HTTP/1.1" 200 11858
0:0:0:0:0:0:0:1 - - [15/Jan/2022:16:10:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
